Genesymbol,degree
BDKRB1,373
BDNF,1750
BDP1,294
BEAN1,56
BECN1,1090
BEGAIN,55
BEND2,47
BEND3,57
BEND4,49
BEND5,30
BEND6,10
BEND7,17
BEST1,616
BEST2,104
BEST3,101
BEST4,87
BET1,453
BET1L,378
BEX1,72
BEX2,69
BEX4,35
BEX5,58
BFAR,56
BFSP1,72
BFSP2,104
BGLAP,1046
BGN,2455
BHLHA15,82
BHLHA9,53
BHLHB9,176
BHLHE22,196
BHLHE23,40
BHLHE40,501
BHLHE41,218
BHMG1,643
BHMT,293
BHMT2,212
BICC1,263
BICD1,156
BICD2,187
BICDL1,93
BICDL2,51
BICRA,93
BICRAL,555
BID,168
BIK,156
BIN1,262
BIN3,41
BIRC2,1359
BIRC3,949
BIRC5,1665
BIRC6,1233
BIRC7,371
BIRC8,1044
BIVM,5
BLCAP,66
BLID,61
BLK,2752
BLM,970
BLMH,161
BLNK,427
BLOC1S1,183
BLOC1S2,113
BLOC1S3,119
BLOC1S4,528
BLOC1S5,92
BLOC1S5-TXNDC5,34
BLOC1S6,437
BLVRA,61
BLVRB,128
BLZF1,155
BMF,128
BMI1,1036
BMP1,425
BMP10,206
BMP15,259
BMP2,1252
BMP2K,1878
BMP3,236
BMP4,1427
BMP5,318
BMP6,512
BMP7,951
BMP8A,118
BMP8B,215
BMPER,117
BMPR1B,386
BMPR2,404
BMS1,761
BMT2,22
BMX,2717
BNC1,631
BNC2,100
BNIP1,181
BNIP2,355
BNIP3,416
BNIP3L,377
BNIPL,161
BOC,137
BOD1,67
BOD1L1,792
BOD1L2,740
BOK,320
BOLA1,179
BOLA2,793
BOLA2-SMG1P6,1616
BOLA2B,830
BOLA3,379
BOLL,1897
BORA,416
BORCS5,71
BORCS6,62
BORCS7-ASMT,55
BORCS8,18
BORCS8-MEF2B,17
BPGM,426
BPHL,19
BPI,235
BPIFA1,74
BPIFA2,60
BPIFA3,707
BPIFB1,69
BPIFB2,26
BPIFB3,62
BPIFB4,25
BPIFB6,45
BPIFC,57
BPNT1,58
BPTF,2370
BPY2,96
BPY2B,642
BPY2C,642
BRAF,1168
BRAP,317
BRAT1,60
BRCA1,1709
BRCA2,1084
BRCC3,821
BRD1,1975
BRD2,2943
BRD3,1685
BRD4,1893
BRD7,360
BRD8,163
BRD9,399
BRDT,2236
BRF2,1108
BRI3,16
BRI3BP,37
BRICD5,4
BRINP1,100
BRINP2,123
BRINP3,129
BRIP1,633
BRIX1,1111
BRK1,285
BRMS1,220
BRMS1L,177
BROX,288
BRPF1,336
BRPF3,1876
BRS3,275
BRSK1,1399
BRSK2,1399
BRWD1,1874
BRWD3,1796
BSCL2,194
BSDC1,59
BSG,506
BSN,475
BSND,104
BSPH1,63
BSPRY,38
BST1,57
BST2,292
BSX,80
BTAF1,688
BTBD1,463
BTBD10,137
BTBD11,104
BTBD16,26
BTBD17,70
BTBD18,197
BTBD19,18
BTBD2,164
BTBD3,104
BTBD6,325
BTBD7,176
BTBD8,119
BTBD9,848
BTC,222
BTD,410
BTF3,429
BTF3L4,338
BTG1,67
BTG2,249
BTG3,134
BTG4,811
BTK,3186
BTLA,186
BTN1A1,323
BTN2A1,125
BTN2A2,30
BTN3A1,692
BTN3A2,152
BTN3A3,436
BTNL3,46
BTNL8,32
BTNL9,35
BTRC,1266
BUB1,1763
BUB1B,996
BUB3,1066
BUD13,421
BUD23,758
BUD31,555
BVES,35
BYSL,938
BZW1,265
BZW2,199
C10orf105,18
C10orf120,649
C10orf53,638
C10orf62,660
C10orf67,706
C10orf71,11
C10orf82,516
C10orf88,33
C10orf90,149
